Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
False,False,lnc-itc,0.0,0,0,0,0
False,False,lnc-itc,0.1,0.0392156862745098,0.05633802816901408,0.06428571428571428,1.3333333333333333
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-inc,0.05,0.021739130434782608,0.030303030303030304,0.003125,0.24465054211822604
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.15,0.06818181818181818,0.09374999999999999,0.036601307189542485,1.0408424622321126
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.05,1.0,0.09523809523809523,0.07142857142857142,0.2559580248098155
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.35,0.05511811023622047,0.09523809523809523,0.1733420745920746,2.785642318671718
True,True,lnc-inc,0.05,0.07692307692307693,0.060606060606060615,0.008547008547008546,0.3010299956639812
True,True,lnc-inc,0.05,0.01098901098901099,0.01801801801801802,0.003125,0.24465054211822604
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.2,0.04878048780487805,0.07843137254901962,0.03938852813852813,1.1003658472466742
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.05,0.09090909090909091,0.06451612903225806,0.01515151515151515,0.3562071871080222
True,True,lnc-inc,0.05,0.012345679012345678,0.019801980198019802,0.05,1.0
True,True,lnc-inc,0.1,0.013888888888888888,0.024390243902439022,0.009821428571428571,0.5006085669280416
True,True,lnc-inc,0.05,0.04,0.044444444444444446,0.005,0.2890648263178879
True,True,lnc-inc,0.05,0.018867924528301886,0.027397260273972605,0.0125,0.43067655807339306
True,True,lnc-inc,0.1,0.041666666666666664,0.058823529411764705,0.026666666666666665,0.7890648263178879
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.05,0.030303030303030304,0.03773584905660378,0.003333333333333333,0.25
True,True,lnc-inc,0.1,0.03571428571428571,0.05263157894736841,0.014285714285714285,0.5892913581431488
True,True,lnc-inc,0.15,0.02608695652173913,0.04444444444444444,0.09487179487179487,1.7626495350371936
True,True,lnc-inc,0.05,0.016666666666666666,0.025,0.05,1.0
True,True,lnc-inc,0.05,0.020833333333333332,0.029411764705882353,0.004545454545454545,0.27894294565112987
True,True,lnc-inc,0.55,0.08208955223880597,0.14285714285714285,0.36741870874223814,4.133994454169488
True,True,lnc-inc,0.15,0.04918032786885246,0.07407407407407407,0.07428571428571427,1.5833333333333333
True,True,lnc-inc,0.05,0.008547008547008548,0.014598540145985403,0.007142857142857143,0.3333333333333333
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.1,0.05263157894736842,0.06896551724137931,0.01213235294117647,0.5552773433538603
True,True,lnc-inc,0.05,0.023255813953488372,0.031746031746031744,0.0029411764705882353,0.23981246656813146
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.1,0.05,0.06666666666666667,0.022619047619047615,0.6895405204413555
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.1,0.1111111111111111,0.10526315789473685,0.009027777777777779,0.472320790815179
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.1,0.04,0.05714285714285714,0.02222222222222222,0.7354089133666383
True,True,lnc-inc,0.05,0.07692307692307693,0.060606060606060615,0.019230769230769232,0.43067655807339306
True,True,lnc-inc,0.1,0.012903225806451613,0.022857142857142854,0.010263157894736842,0.520443039477647
True,True,lnc-inc,0.1,0.025974025974025976,0.041237113402061855,0.08333333333333333,1.5
True,True,lnc-inc,0.05,0.008620689655172414,0.014705882352941175,0.008333333333333333,0.3562071871080222
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.1,0.058823529411764705,0.07407407407407408,0.01944444444444444,0.6572371827720034
True,True,lnc-inc,0.05,0.011235955056179775,0.01834862385321101,0.05,1.0
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.0,0.0,0,0,0
True,True,lnc-inc,0.0,0,0,0,0
True,True,lnc-inc,0.1,0.0392156862745098,0.05633802816901408,0.012222222222222221,0.5510299956639813
True,True,lnc-inc,0.05,0.05555555555555555,0.052631578947368425,0.009259259259259259,0.3562071871080222
True,True,lnc-inc,0.05,0.022222222222222223,0.030769230769230767,0.05,1.0
True,True,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.25,0.10869565217391304,0.15151515151515152,0.09802350427350429,1.8751296368344113
True,False,lnc-inc,0.05,0.038461538461538464,0.043478260869565216,0.003125,0.24465054211822604
True,False,lnc-inc,0.35,0.1590909090909091,0.21875,0.18831550802139035,2.851106764704974
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.05,0.029411764705882353,0.03703703703703704,0.004545454545454545,0.27894294565112987
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.05,0.007874015748031496,0.013605442176870748,0.01,0.38685280723454163
True,False,lnc-inc,0.0,0.0,0,0,0
True,False,lnc-inc,0.3,0.06593406593406594,0.10810810810810811,0.1785444947209653,2.7598370967121246
True,False,lnc-inc,0.0,0.0,0,0,0
